,Start,End
0,2020-12-31 19:39:46.782608,2020-12-31 19:39:50.738837
1,2020-12-31 19:39:55.386228,2020-12-31 19:39:59.901037
2,2020-12-31 19:40:03.926058,2020-12-31 19:40:08.016533
3,2020-12-31 19:40:12.224183,2020-12-31 19:40:19.699838
4,2020-12-31 19:40:23.762733,2020-12-31 19:40:39.807728
5,2020-12-31 19:40:41.043661,2020-12-31 19:40:46.757532
6,2020-12-31 19:40:51.092180,2020-12-31 19:40:55.458281
7,2020-12-31 19:41:00.669087,2020-12-31 19:41:04.864853
8,2020-12-31 19:41:15.670988,2020-12-31 19:41:19.612216
9,2020-12-31 19:41:24.605531,2020-12-31 19:41:41.551433
10,2020-12-31 19:41:42.770568,2020-12-31 19:41:49.869394
11,2020-12-31 19:41:55.297605,2020-12-31 19:42:01.288476
12,2020-12-31 19:42:06.690693,2020-12-31 19:42:19.405312
13,2020-12-31 19:42:26.120713,2020-12-31 19:42:34.898143
14,2020-12-31 19:42:39.406109,2020-12-31 19:42:54.843473
15,2020-12-31 19:42:56.090130,2020-12-31 19:43:00.341086
16,2020-12-31 19:43:05.624815,2020-12-31 19:43:09.593482
17,2020-12-31 19:43:13.586733,2020-12-31 19:43:17.749200
18,2020-12-31 19:43:21.758932,2020-12-31 19:43:27.826605
19,2020-12-31 19:43:32.131268,2020-12-31 19:43:48.975865
20,2020-12-31 19:43:50.178174,2020-12-31 19:43:55.129044
21,2020-12-31 19:44:00.984856,2020-12-31 19:44:05.425527
22,2020-12-31 19:44:09.719373,2020-12-31 19:44:14.785084
23,2020-12-31 19:44:26.762135,2020-12-31 19:44:30.623575
24,2020-12-31 19:44:34.485969,2020-12-31 19:44:49.012140
25,2020-12-31 19:44:50.547993,2020-12-31 19:44:56.092693
26,2020-12-31 19:45:00.400278,2020-12-31 19:45:04.408035
27,2020-12-31 19:45:09.134794,2020-12-31 19:45:13.127840
28,2020-12-31 19:45:18.864922,2020-12-31 19:45:22.888288
29,2020-12-31 19:45:27.118525,2020-12-31 19:45:44.177309
30,2020-12-31 19:45:52.775022,2020-12-31 19:45:56.754151
31,2020-12-31 19:46:00.746282,2020-12-31 19:46:06.775843
32,2020-12-31 19:46:13.334091,2020-12-31 19:46:17.358000
33,2020-12-31 19:46:21.316082,2020-12-31 19:46:25.711477
34,2020-12-31 19:46:29.661074,2020-12-31 19:46:44.587284
35,2020-12-31 19:46:47.251556,2020-12-31 19:46:51.214495
36,2020-12-31 19:46:55.137458,2020-12-31 19:46:59.146534
37,2020-12-31 19:47:03.107818,2020-12-31 19:47:07.116523
38,2020-12-31 19:47:11.171528,2020-12-31 19:47:15.134456
39,2020-12-31 19:47:19.103809,2020-12-31 19:47:34.515874
40,2020-12-31 19:47:40.292793,2020-12-31 19:47:44.170723
41,2020-12-31 19:47:48.180643,2020-12-31 19:47:52.157851
42,2020-12-31 19:47:56.106809,2020-12-31 19:48:00.066906
43,2020-12-31 19:48:03.975408,2020-12-31 19:48:07.752716
44,2020-12-31 19:48:11.626818,2020-12-31 19:48:27.236993
45,2020-12-31 19:48:29.125913,2020-12-31 19:48:33.733844
46,2020-12-31 19:48:37.652682,2020-12-31 19:48:41.545549
47,2020-12-31 19:48:45.536605,2020-12-31 19:48:49.425583
48,2020-12-31 19:48:53.409321,2020-12-31 19:48:58.011356
49,2020-12-31 19:49:02.020181,2020-12-31 19:49:17.546774
